ID_Unidad,Placa,Serial,Marca,Modelo,Color,Tipo_Vehiculo,Tipo_Flota,Estatus_Final,Situacion_Actual,Gerencia,Responsable_Usuario,Cargo_Usuario,Ubicacion_Taller,Documento_Url,Ubicacion_Actual
14616,EAO36P,8XDDU74W568A10147,FORD,EXPLORER,VERDE,PICK-UP,Liviana,OPERATIVA,OPERATIVA,RECURSOS HUMANOS,KENIA ARTEAGA,,,,
OCC70-055,AF545AM,JTERU71J6C4004557,TOYOTA,LAND CRUISER,BLANCO,RUSTICO,Liviana,OPERATIVA,OPERATIVA,AMBIENTE,DANIEL CAÑIZALEZ,,,,
81,SIN PLACAS,1N6AD0EVXCC470081,NISSAN,FRONTIER,BLANCO,PICK-UP,Liviana,OPERATIVA,OPERATIVA,COORDINACION OPERACIONAL,JULIO VALERA,,,,
2834,SIN PLACAS,3TMLU4EN0CM102834,TOYOTA,TACOMA,GRIS,PICK-UP,Liviana,OPERATIVA,OPERATIVA,AMBIENTE,ALEXANDER FANEITE,,,,
21813,89TVAT,JN1CNUD225A714292,NISSAN,FRONTIER,BLANCO,PICK-UP,Liviana,INOPERATIVA,PARADA POR FALLA,PROYECTOS MAYORES,PROYECTOS MAYORES,,,,
6510,A14BA0N,MR0DX9CD0N2646510,TOYOTA,HILUX,BLANCO,PICK-UP,Liviana,INOPERATIVA,CHOCADA,DEPOCC,NIEPLU PEREZ,,,,
7325,A37BA9N,LSCBBZ2T1MG697325,CHANGAN,KAICENE F70 4X4,BLANCO,PICK-UP,Liviana,OPERATIVA,OPERATIVA,PDVSA SERVICIOS PETROLEROS,MELVIN CANGA,,,,
21508,TAL28F,8XA21UJ7258001471,TOYOTA,LAND CRUISER,BLANCO,RUSTICO,Liviana,INOPERATIVA,PARADA POR FALLA,SEGURIDAD INTEGRAL (DSI),ALEX REYES,,,,
16627,59ZVAT,8ZCEC14T75V311875,CHEVROLET,CHEYENNE,BLANCO,PICK-UP,Liviana,OPERATIVA,OPERATIVA,SINO VENEZOLANA,JACKSON ANAHOLE,,,,
8095,A54AI8A,8ZCNCRE08BV338095,CHEVROLET,SILVERADO,BEIGE,PICK-UP,Liviana,EN PROCESO DE DESINCORPORACION,FUERA DE SERVICIO,SEGURIDAD INTEGRAL (DSI),TRANSPORTE TERRESTRE,,,,
16492,21LDAM,8ZCEC14T72V309409,CHEVROLET,CHEYENNE,BLANCO,PICK-UP,Liviana,DESINCORPORADO,FUERA DE SERVICIO,TRANSPORTE TERRESTRE,TRANSPORTE TERRESTRE,,,,
16442,23K-DAM,8ZCEC14T12V308143,CHEVROLET,CHEYENNE,BLANCO,PICK-UP,Liviana,A DESINCORPORAR,FUERA DE SERVICIO,GOIP,TRANSPORTE TERRESTRE,,,,
16338,SIN PLACAS,8ZCEC14T91V313900,CHEVROLET,CHEYENNE,BLANCO,PICK-UP,Liviana,OPERATIVA,OPERATIVA,GOIP,EDUARD GUERRERO,,,,
2245,82AABO,8LBETF1H770002245,CHEVROLET,LUV,GRIS,PICK-UP,Liviana,INOPERATIVA,RECUPERADA DE MUELLE LIBERTADOR,GOIP,ROY PACHECO,,,,
GM-3282,SIN PLACAS,3FTRF17W18MA10860,FORD,F-150,BLANCO,PICK-UP,Liviana,A DESINCORPORAR,FUERA DE SERVICIO,PDVSA GAS,TRANSPORTE TERRESTRE,,,,
14875,35MDAM,8LBTFS25H20111833,CHEVROLET,LUV CREW CAB,BLANCO,PICK-UP,Liviana,A DESINCORPORAR,FUERA DE SERVICIO,GOIP,TRANSPORTE TERRESTRE,,,,
